N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
47,미래에셋대우,"9,290",200,-2.11%,"5,000","59,950","645,316",14.17,"2,279,820",9.71,7.56,
48,CJ제일제당,"383,000",500,+0.13%,"5,000","57,658","15,054",24.20,"53,693",7.95,3.16,
49,빅히트,"158,500","2,000",+1.28%,500,"56,464","35,624",3.53,"110,046",N/A,56.47,
50,코웨이,"71,600","1,100",-1.51%,500,"52,841","73,800",60.32,"209,582",14.80,30.74,
51,현대제철,"39,500","1,250",+3.27%,"5,000","52,711","133,446",19.40,"1,243,067",-21.40,0.10,
52,KODEX 200,"38,685",645,+1.70%,0,"52,167","134,850",23.68,"14,780,305",N/A,N/A,
53,LG유플러스,"11,700",300,-2.50%,"5,000","51,084","436,611",30.41,"4,382,074",6.45,6.30,
54,강원랜드,"23,450",300,+1.30%,500,"50,169","213,940",22.20,"705,435",-26.41,9.16,
55,유한양행,"73,900",600,+0.82%,"1,000","49,407","66,857",20.81,"621,619",28.47,2.43,
56,한국타이어앤테크놀로지,"39,500","1,350",-3.30%,500,"48,931","123,875",38.60,"259,550",19.01,6.03,
57,한미사이언스,"74,100","7,400",+11.09%,500,"48,914","66,011",1.72,"1,227,425",336.82,4.73,
58,두산중공업,"13,050",200,+1.56%,"5,000","48,890","374,637",11.19,"2,945,019",-2.81,-14.73,
59,오리온,"122,500",500,-0.41%,500,"48,432","39,536",41.85,"74,511",17.69,14.24,
60,SK케미칼,"401,500","23,500",+6.22%,"5,000","47,142","11,741",16.98,"459,340",18.32,1.51,
61,대한항공,"26,900",550,+2.09%,"5,000","46,862","174,210",12.29,"1,542,785",-6.13,-22.09,
62,현대중공업지주,"290,500","28,000",-8.79%,"5,000","45,895","15,799",17.21,"210,368",-17.60,2.20,
63,녹십자,"388,000","34,000",+9.60%,"5,000","45,344","11,687",19.13,"690,175",104.08,-0.35,
64,아모레G,"54,800","1,300",+2.43%,500,"45,187","82,458",19.52,"104,398",193.64,4.12,
65,HMM,"13,750",850,+6.59%,"5,000","44,925","326,726",6.79,"9,263,420",-44.35,-55.46,
66,한국금융지주,"79,100",900,-1.13%,"5,000","44,079","55,726",29.89,"532,551",7.24,18.14,
67,삼성중공업,"6,970",50,+0.72%,"5,000","43,911","630,000",15.31,"5,723,572",-3.51,-21.88,
68,LG이노텍,"183,500","3,000",+1.66%,"5,000","43,429","23,667",33.81,"404,523",33.27,4.73,
69,금호석유,"142,500","5,000",+3.64%,"5,000","43,416","30,468",28.24,"305,149",12.19,11.84,
70,이마트,"150,500","1,000",+0.67%,"5,000","41,953","27,876",31.50,"131,395",7.51,2.76,
71,한미약품,"348,500","24,500",+7.56%,"2,500","41,273","11,843",13.76,"165,690","-3,383.50",7.30,
72,현대건설,"36,250",50,+0.14%,"5,000","40,366","111,356",18.74,"668,165",17.67,6.30,
73,한진칼,"60,800",800,+1.33%,"2,500","40,288","66,263",15.18,"100,633",-10.03,-17.56,
74,삼성카드,"33,100","1,950",-5.56%,"5,000","38,349","115,859",10.19,"324,109",9.31,5.04,
75,맥쿼리인프라,"10,850",400,-3.56%,0,"37,871","349,044",14.44,"3,430,779",N/A,N/A,
76,CJ대한통운,"164,000",0,0.00%,"5,000","37,412","22,812",20.92,"65,523",29.57,1.41,
77,삼성증권,"40,700","2,450",-5.68%,"5,000","36,345","89,300",25.12,"1,376,378",7.73,8.15,
78,롯데지주,"34,300",450,-1.29%,200,"35,984","104,909",11.19,"161,941",-5.02,-5.21,
79,SKC,"93,400","1,700",+1.85%,"5,000","35,369","37,868",7.63,"359,211",41.46,3.86,
80,GS,"37,300",950,-2.48%,"5,000","34,657","92,915",18.80,"409,858",-40.46,6.26,
81,두산퓨얼셀,"52,800","2,600",+5.18%,100,"34,581","65,494",14.24,"1,922,517",154.84,N/A,
82,쌍용양회,"6,750",230,-3.30%,100,"34,011","503,860",2.81,"2,269,461",27.11,7.02,
83,현대차2우B,"89,800","2,200",-2.39%,"5,000","32,764","36,485",60.92,"224,115",21.46,N/A,
84,동서,"32,850",800,+2.50%,500,"32,751","99,700",4.51,"231,510",23.68,10.53,
85,에스원,"85,000",800,-0.93%,500,"32,299","37,999",55.39,"82,018",22.37,11.32,
86,호텔신라,"81,200","1,000",+1.25%,"5,000","31,869","39,248",20.44,"383,418",-24.64,20.16,
87,NH투자증권,"11,150",550,-4.70%,"5,000","31,377","281,409",14.61,"1,928,585",5.42,9.12,
88,더존비즈온,"103,500","2,000",+1.97%,500,"31,160","30,106",45.70,"52,193",64.33,18.78,
89,DB손해보험,"43,650","1,450",-3.22%,500,"30,904","70,800",40.66,"263,733",5.56,6.92,
90,대웅,"50,900","3,800",+8.07%,500,"29,594","58,142",5.52,"2,081,345",58.64,10.43,
91,두산밥캣,"29,450",700,-2.32%,500,"29,523","100,249",20.55,"371,631",15.94,7.05,
92,키움증권,"124,000","1,000",+0.81%,"5,000","29,439","23,741",22.57,"164,975",5.47,16.97,
93,씨에스윈드,"168,000","3,500",+2.13%,500,"29,040","17,286",8.49,"256,479",58.58,9.92,
94,LG화학우,"377,000","1,500",+0.40%,"5,000","28,987","7,689",60.36,"49,787",35.22,N/A,
95,대우조선해양,"26,950",50,-0.19%,"5,000","28,915","107,291",9.00,"299,095",16.58,-1.22,
96,대림산업,"83,000",0,0.00%,"5,000","28,884","34,800",32.33,0,4.39,11.74,
97,GS건설,"35,750",700,+2.00%,"5,000","28,664","80,179",27.46,"673,120",9.35,11.79,
98,롯데쇼핑,"100,500","1,500",+1.52%,"5,000","28,430","28,289",11.28,"118,929",-2.12,-8.14,
99,TIGER 200,"38,655",635,+1.67%,0,"28,276","73,150",4.41,"1,756,708",N/A,N/A,
